emp_no,dept_no,from_date,to_date,first_name,last_name,birth_date
10070,d008,1995-10-18,9999-01-01,Reuven,Garigliano,1955-08-20
10326,d008,1998-09-02,9999-01-01,Masali,Czap,1953-02-13
10347,d008,1998-02-20,9999-01-01,Pradeep,Kaminger,1953-10-03
10519,d008,1992-12-05,1994-02-09,Yonghoan,Alencar,1955-12-28
10623,d008,1996-02-11,9999-01-01,Aleksander,Danlos,1953-07-11
10847,d008,1986-07-25,9999-01-01,Theirry,Danley,1952-03-04
11021,d008,1998-02-02,9999-01-01,Srinidhi,Henders,1954-07-13
11100,d008,1986-10-13,9999-01-01,Berna,Cochrane,1955-10-14
11769,d008,1993-10-22,1999-04-18,Chandrasekaran,Lampe,1953-07-17
11931,d008,1991-01-13,9999-01-01,Gunilla,Chiodo,1952-10-30
12717,d008,1999-10-20,9999-01-01,Tzu,Jiafu,1953-04-17
12888,d008,1986-05-07,1995-04-07,Martien,Erni,1955-11-05
12926,d008,1985-12-24,9999-01-01,Heekeun,Luby,1952-04-24
13221,d008,1987-02-27,1998-10-21,Premsyl,Famili,1955-05-17
13552,d008,1985-03-23,9999-01-01,Ingmar,Capobianchi,1955-03-23
13576,d008,1992-08-29,1997-02-18,Jungsoon,Engberts,1954-08-05
13853,d008,1991-03-25,9999-01-01,Mingsen,Roohalamini,1952-03-10
14236,d008,1988-11-07,9999-01-01,Xuedong,Angiulli,1952-06-14
14292,d008,1988-02-19,9999-01-01,Susanna,Vigier,1953-08-21
14293,d008,1985-05-09,1990-09-12,Qunsheng,Middleton,1955-02-10
14906,d008,1987-12-11,9999-01-01,Adil,Parveen,1953-01-06
15055,d008,1991-07-16,9999-01-01,Shrikanth,Sherertz,1953-03-26
15208,d008,1987-04-18,9999-01-01,Sudharsan,Shokrollahi,1954-08-17
15370,d008,1997-11-15,9999-01-01,Chuanyi,Nilsson,1955-07-02
16019,d008,1986-10-12,9999-01-01,Chaoyi,Heystek,1955-11-30
16272,d008,2002-04-05,9999-01-01,Shuho,Zeleznik,1953-07-23
16365,d008,1985-04-27,9999-01-01,Janalee,Mellouli,1954-04-29
16471,d008,1999-08-03,9999-01-01,Bogdan,Birta,1955-10-05
16486,d008,1986-03-18,9999-01-01,Sanjay,Perin,1955-12-22
16869,d008,1990-12-19,9999-01-01,Yakkov,Huttel,1954-12-11
16955,d008,1994-03-14,9999-01-01,Sangeeta,Marrakchi,1955-09-05
16999,d008,1996-12-22,1999-04-13,Bezalel,Sadowsky,1952-04-01
17329,d008,1999-03-14,9999-01-01,Shaunak,Tyugu,1952-04-25
17361,d008,1988-11-11,2001-12-27,Macha,Griswold,1955-08-07
17384,d008,1990-04-05,9999-01-01,Youngkon,Nooteboom,1954-12-11
17559,d008,2002-03-31,9999-01-01,Annemarie,Papastamatiou,1953-12-01
17704,d008,1995-11-21,9999-01-01,Vatsa,Broomell,1955-02-07
17728,d008,1998-02-19,9999-01-01,Tsuneo,Lienhardt,1953-10-31
18130,d008,1993-05-26,9999-01-01,Claudi,Cairo,1955-04-30
18223,d008,1986-07-15,1990-08-26,Gully,Mitchem,1953-09-22
18251,d008,1986-10-08,9999-01-01,Alair,Panangaden,1955-08-13
18666,d008,1989-05-24,1989-11-02,Hitofumi,Baja,1952-02-21
