emp_no,dept_no,from_date,to_date,first_name,last_name,birth_date
10001,d005,1986-06-26,9999-01-01,Georgi,Facello,1953-09-02
10018,d005,1987-04-03,1992-07-29,Kazuhide,Peha,1954-06-19
10022,d005,1999-09-03,9999-01-01,,,1952-07-08
10070,d005,1985-10-14,1995-10-18,Reuven,Garigliano,1955-08-20
10072,d005,1989-05-21,9999-01-01,Hironoby,Sidou,1952-05-15
10074,d005,1990-08-13,9999-01-01,,,1955-08-28
10076,d005,1996-07-15,9999-01-01,Erez,Ritzmann,1952-06-13
10091,d005,1992-11-18,9999-01-01,,,1955-10-04
10103,d005,1998-01-12,9999-01-01,Akemi,Birch,1953-11-26
10127,d005,1991-05-17,9999-01-01,,,1952-02-24
10129,d005,1996-01-16,9999-01-01,Armond,Peir,1955-12-02
10150,d005,1986-11-16,9999-01-01,Zhenbing,Perng,1955-01-29
10153,d005,2000-01-08,9999-01-01,Heekeun,Majewski,1955-12-15
10189,d005,1992-09-13,1993-06-29,,,1955-11-12
10219,d005,1994-10-23,9999-01-01,,,1952-05-02
10278,d005,1993-07-02,1997-02-14,,,1955-03-09
10283,d005,1988-05-25,9999-01-01,Kauko,Birjandi,1953-07-08
10294,d005,1999-01-30,1999-05-04,,,1955-01-05
10396,d005,1986-01-11,9999-01-01,Sibyl,Rahier,1955-08-21
10443,d005,1989-08-01,2002-07-06,,,1952-12-03
10519,d005,1994-02-09,2001-10-13,Yonghoan,Alencar,1955-12-28
10529,d005,1997-07-04,1999-06-12,,,1952-11-21
10538,d005,1987-07-23,1991-09-22,Przemyslawa,Falby,1955-08-18
10623,d005,1992-01-15,1996-02-11,Aleksander,Danlos,1953-07-11
10628,d005,1987-03-14,9999-01-01,Krisda,Krogh,1954-04-18
10639,d005,1992-10-25,9999-01-01,,,1953-04-18
10653,d005,1987-04-30,9999-01-01,Otmar,Feinberg,1953-06-16
10676,d005,1999-09-04,9999-01-01,Valeri,Danley,1953-08-26
10696,d005,1991-09-09,9999-01-01,,,1952-03-23
10702,d005,1991-01-14,9999-01-01,Bader,Szemeredi,1952-11-25
10726,d005,1992-02-25,9999-01-01,Zita,Minakawa,1954-01-11
10751,d005,1999-12-14,2000-12-05,Jordanka,Ushiama,1952-12-02
10764,d005,1989-11-27,9999-01-01,,,1953-01-12
10791,d005,1988-07-30,9999-01-01,Tadahiko,Sgarro,1954-05-27
10844,d005,1997-04-25,9999-01-01,Dipayan,Koprowski,1954-02-03
10849,d005,1995-06-25,9999-01-01,,,1953-03-05
10854,d005,1998-07-13,9999-01-01,,,1954-08-11
10858,d005,1997-01-01,9999-01-01,,,1952-10-01
10879,d005,1985-08-15,9999-01-01,Muzhong,Chleq,1953-08-18
10909,d005,1993-12-26,9999-01-01,Georgi,Atchley,1954-11-11
10956,d005,1995-12-02,1997-02-10,,,1955-02-02
10969,d005,1994-05-12,9999-01-01,Premal,Noriega,1954-09-05
10971,d005,1991-07-30,1998-10-24,,,1955-02-08
10974,d005,1999-05-17,9999-01-01,Muneo,Papsdorf,1952-03-07
10985,d005,1999-02-11,1999-02-27,,,1952-05-31
10987,d005,1997-05-21,9999-01-01,,,1952-11-26
10988,d005,1985-06-19,9999-01-01,Chinya,Deyuan,1955-06-24
11019,d005,1992-05-24,9999-01-01,Leon,Huttel,1954-09-06
11032,d005,2000-12-15,9999-01-01,,,1953-04-19
11098,d005,1997-01-08,9999-01-01,,,1953-09-11
11170,d005,1990-06-20,9999-01-01,,,1952-05-05
11177,d005,1999-09-11,9999-01-01,,,1954-04-09
11207,d005,1999-01-31,9999-01-01,Saeed,Gips,1955-08-14
11221,d005,1989-08-22,1995-03-13,,,1953-11-29
11233,d005,1991-12-14,9999-01-01,,,1952-05-08
11253,d005,1992-05-22,9999-01-01,,,1952-09-11
11267,d005,1996-04-09,1997-07-29,,,1955-10-18
11291,d005,1985-10-20,2001-04-15,Gino,Glowinski,1953-11-01
11292,d005,1989-02-11,9999-01-01,,,1953-05-18
11294,d005,1989-06-13,9999-01-01,,,1954-06-11
11319,d005,1998-11-01,9999-01-01,Pranas,Marrakchi,1955-06-05
11325,d005,1999-01-10,9999-01-01,,,1952-02-06
11343,d005,1989-02-27,9999-01-01,,,1954-09-10
11347,d005,1986-04-20,9999-01-01,Anneli,Jonsson,1954-12-27
11404,d005,1990-09-25,9999-01-01,Bedrich,Borovoy,1954-09-15
11446,d005,2001-11-20,9999-01-01,,,1954-06-20
11573,d005,1990-02-04,9999-01-01,,,1952-12-18
11575,d005,1994-06-01,9999-01-01,,,1955-02-22
11581,d005,1992-11-13,9999-01-01,,,1953-04-12
11589,d005,1994-05-06,9999-01-01,,,1955-01-10
11597,d005,1990-02-01,1998-12-07,,,1955-04-10
11640,d005,1988-09-26,9999-01-01,Valeri,Coorg,1953-10-06
11641,d005,1991-06-18,9999-01-01,,,1955-10-13
11646,d005,1999-12-15,9999-01-01,,,1953-06-22
11693,d005,1991-08-24,9999-01-01,,,1952-02-15
11733,d005,1992-01-12,9999-01-01,,,1954-05-25
11756,d005,1999-11-26,9999-01-01,,,1955-02-24
11769,d005,1999-04-18,9999-01-01,Chandrasekaran,Lampe,1953-07-17
11770,d005,1992-11-29,9999-01-01,,,1955-08-26
11772,d005,1999-11-07,9999-01-01,Gaurav,Penz,1954-06-19
11805,d005,1985-09-01,1991-02-05,Rosine,Grandbois,1953-06-05
11810,d005,1992-01-05,9999-01-01,Amabile,Bhattacharjee,1952-12-08
11871,d005,1993-10-13,9999-01-01,Nalini,Sommen,1953-05-02
11894,d005,1988-06-22,9999-01-01,Mitchel,Validov,1954-12-23
11951,d005,1989-10-14,9999-01-01,,,1955-05-08
11983,d005,1986-10-11,9999-01-01,Jaana,Hedayat,1953-01-04
11988,d005,1985-11-03,2001-12-31,Chinya,Chinin,1953-08-10
12007,d005,1989-05-17,9999-01-01,,,1952-06-18
12070,d005,1988-11-14,9999-01-01,Ger,Shokrollahi,1955-07-23
12077,d005,1994-01-30,1995-08-31,,,1954-11-17
12125,d005,1997-03-31,1999-09-01,Shounak,Erman,1953-04-16
12159,d005,1985-07-17,9999-01-01,Shem,Perly,1955-08-15
12164,d005,1996-05-14,9999-01-01,,,1954-01-04
12205,d005,1987-11-11,9999-01-01,Sushant,Rossi,1955-08-24
12221,d005,1985-09-16,9999-01-01,Vincent,Melter,1955-07-14
12247,d005,1985-04-09,9999-01-01,Subbu,Penttonen,1952-03-26
12258,d005,1990-06-22,9999-01-01,,,1955-01-06
12264,d005,1998-01-09,9999-01-01,Mart,Pagter,1953-12-30
12274,d005,1988-04-01,1989-01-18,Garnik,Papadias,1955-02-01
12276,d005,1993-06-13,2001-09-25,Yongmin,Lenart,1955-05-03
12282,d005,1999-10-06,9999-01-01,,,1952-02-02
12298,d005,1994-03-31,1998-12-14,,,1954-03-03
12311,d005,1985-10-22,9999-01-01,Susanne,Lubachevsky,1955-02-11
12327,d005,1986-10-16,9999-01-01,DAIDA,Bruckman,1952-05-21
12379,d005,1996-06-02,9999-01-01,,,1955-04-04
12388,d005,1997-09-11,1999-04-25,,,1954-12-14
12421,d005,1991-10-30,9999-01-01,,,1955-03-15
12450,d005,1992-02-02,9999-01-01,,,1952-02-10
12475,d005,1987-04-26,9999-01-01,Filipe,Roison,1953-03-30
12489,d005,1986-04-11,9999-01-01,Arnould,Munck,1955-01-23
12490,d005,1994-05-09,9999-01-01,Jackson,Muchinsky,1955-08-08
12514,d005,1999-11-13,9999-01-01,Tomofumi,Melter,1952-11-14
12563,d005,1998-03-08,9999-01-01,,,1953-07-03
12574,d005,1999-01-08,9999-01-01,,,1954-09-02
12588,d005,1997-02-08,9999-01-01,,,1954-12-29
12589,d005,1988-09-08,9999-01-01,Anoosh,Chleq,1952-11-23
12601,d005,1992-07-09,9999-01-01,Ghassan,Simkin,1955-08-16
12638,d005,1999-04-29,9999-01-01,Yuqun,Seiwald,1954-11-09
12678,d005,1999-06-26,2000-04-22,Carrsten,Borovoy,1952-12-07
12726,d005,1994-05-19,9999-01-01,Fumitake,Panwar,1954-03-27
12730,d005,1993-07-24,1998-03-24,Barry,Perl,1953-07-01
12774,d005,1997-08-02,9999-01-01,,,1952-12-30
12789,d005,1996-09-24,9999-01-01,,,1955-03-20
12810,d005,1996-07-06,9999-01-01,,,1955-06-15
12821,d005,1997-05-04,2000-02-07,,,1952-06-01
12843,d005,1993-10-23,9999-01-01,,,1955-12-17
12879,d005,1990-06-11,9999-01-01,Baruch,Eugenio,1955-09-07
12887,d005,1994-09-19,9999-01-01,,,1953-01-04
12934,d005,1989-10-15,9999-01-01,,,1953-06-21
12941,d005,1986-11-06,9999-01-01,Tommaso,Perelgut,1954-07-29
12949,d005,1987-02-12,9999-01-01,Geoff,Asrin,1955-02-24
12977,d005,1987-08-24,9999-01-01,Byong,Markovitch,1954-11-29
13000,d005,1997-07-05,9999-01-01,,,1955-01-31
13002,d005,1994-05-03,9999-01-01,,,1954-12-08
13011,d005,1995-05-18,9999-01-01,,,1955-02-25
13047,d005,1992-02-26,9999-01-01,Atilio,Chelton,1953-04-24
13048,d005,1996-11-14,9999-01-01,,,1952-07-17
13052,d005,1991-07-27,9999-01-01,,,1952-09-26
13103,d005,1988-06-19,9999-01-01,Srinidhi,Ellozy,1952-05-09
13156,d005,1992-08-18,9999-01-01,Akeel,Millington,1952-04-19
13161,d005,1990-01-02,9999-01-01,,,1955-05-04
13192,d005,1993-02-01,2001-01-19,Rosita,Flowers,1953-01-28
13233,d005,1987-03-31,9999-01-01,Alselm,Chvatal,1954-08-11
13240,d005,1994-03-10,9999-01-01,King,Pileggi,1955-02-14
13260,d005,1997-02-08,9999-01-01,,,1954-08-02
13291,d005,1986-10-30,9999-01-01,Georg,Stamatiou,1952-04-29
13312,d005,1998-05-01,1999-11-16,,,1953-11-11
13315,d005,1991-06-02,9999-01-01,Sakthirel,Stroustrup,1955-09-08
13320,d005,1993-04-10,9999-01-01,,,1954-08-04
13321,d005,1994-05-14,1994-08-05,,,1954-11-17
13346,d005,1993-09-29,9999-01-01,,,1954-07-16
13374,d005,1997-08-13,9999-01-01,,,1954-05-16
13386,d005,1986-02-23,9999-01-01,Khosrow,Sgarro,1952-04-27
