emp_no,dept_no,from_date,to_date,first_name,last_name,birth_date
10018,d004,1992-07-29,9999-01-01,Kazuhide,Peha,1954-06-19
10026,d004,1995-03-20,9999-01-01,,,1953-04-03
10035,d004,1988-09-05,9999-01-01,Alain,Chappelet,1953-02-08
10051,d004,1992-10-15,9999-01-01,,,1953-07-28
10063,d004,1989-04-08,9999-01-01,,,1952-08-06
10096,d004,1999-01-23,9999-01-01,,,1954-09-16
10224,d004,1988-01-09,9999-01-01,Leon,Trogemann,1954-05-17
10282,d004,1996-05-02,9999-01-01,Hercules,Benzmuller,1953-11-27
10284,d004,1999-07-06,9999-01-01,,,1954-04-08
10363,d004,1985-09-11,1987-05-18,Toshiki,Muniz,1953-11-28
10364,d004,1985-11-14,9999-01-01,Nakhoon,Dengi,1954-09-21
10372,d004,1985-07-30,9999-01-01,Anneli,Frijda,1952-04-08
10382,d004,1998-07-01,1999-05-07,,,1955-06-12
10397,d004,1993-05-21,9999-01-01,,,1955-11-11
10451,d004,1988-03-12,9999-01-01,Bodh,Ranta,1952-10-06
10494,d004,1991-12-18,9999-01-01,Yakkov,Servieres,1953-12-21
10497,d004,1992-01-22,9999-01-01,,,1953-06-09
10529,d004,1999-06-12,9999-01-01,,,1952-11-21
10538,d004,1991-09-22,1998-12-13,Przemyslawa,Falby,1955-08-18
10564,d004,1995-11-23,9999-01-01,Jianhao,Thisen,1955-04-14
10575,d004,1988-10-04,2000-11-22,Theirry,Yeung,1954-06-29
10586,d004,1992-02-04,9999-01-01,,,1954-06-23
10608,d004,1986-05-25,1991-06-02,Adhemar,Talmor,1955-07-11
10614,d004,1990-03-03,1997-02-27,,,1953-07-11
10624,d004,1990-05-07,9999-01-01,,,1955-12-19
10672,d004,1991-09-29,1996-04-19,Bluma,Zeilberger,1954-03-23
10745,d004,1988-01-23,9999-01-01,Poorav,Ranze,1953-10-23
10749,d004,1985-09-26,9999-01-01,King,Brendel,1955-08-21
10777,d004,1990-03-17,2001-03-27,Mizuhito,Kemmerer,1955-08-11
10780,d004,1994-08-01,1996-08-18,,,1955-09-12
10834,d004,1990-11-24,9999-01-01,,,1954-12-16
10835,d004,1995-08-22,9999-01-01,Tomoyuki,Kermarrec,1952-11-23
10848,d004,1985-04-20,9999-01-01,Fen,Bratsberg,1954-07-16
10867,d004,1997-03-23,2002-03-22,Billur,Gyorkos,1952-10-01
10930,d004,1991-11-22,9999-01-01,,,1954-01-13
10944,d004,1995-09-07,9999-01-01,,,1952-05-25
10956,d004,1997-02-10,9999-01-01,,,1955-02-02
11027,d004,1986-05-07,9999-01-01,Remzi,Cappello,1955-12-13
11028,d004,1986-06-18,1997-09-04,Miyeon,Krider,1952-02-23
11051,d004,1991-03-27,9999-01-01,Przemyslawa,Erol,1952-10-06
11064,d004,1990-02-28,9999-01-01,,,1952-08-10
11075,d004,1998-05-06,9999-01-01,,,1954-10-28
11084,d004,1990-05-31,9999-01-01,,,1955-07-03
11085,d004,1996-02-10,9999-01-01,Hailing,Thummel,1953-09-08
11091,d004,1999-09-11,9999-01-01,,,1952-10-10
11110,d004,1988-09-23,1992-03-30,Valeska,Birjandi,1955-12-11
11111,d004,1994-12-25,9999-01-01,,,1954-07-14
11119,d004,1994-06-21,1995-10-23,,,1955-07-09
11195,d004,1991-06-13,1999-05-16,,,1953-09-04
11204,d004,1985-09-18,9999-01-01,Diederik,Covnot,1955-12-15
11211,d004,1985-09-17,9999-01-01,Yurij,Rissland,1952-12-11
11217,d004,1990-03-11,9999-01-01,Kellie,Mawatari,1954-07-01
11229,d004,1991-07-26,1993-07-06,,,1953-10-20
11268,d004,1987-10-25,9999-01-01,Aimee,Petersohn,1954-05-14
11296,d004,1989-09-26,9999-01-01,,,1954-12-24
11297,d004,1991-02-16,1991-02-22,,,1954-03-19
11349,d004,1992-06-27,9999-01-01,,,1953-09-05
11365,d004,1997-12-18,9999-01-01,Toshimi,Shinomoto,1953-11-17
11387,d004,1997-05-11,1997-12-13,,,1954-07-18
11393,d004,1985-04-30,9999-01-01,Junsik,Junot,1954-05-17
11415,d004,1996-12-07,9999-01-01,Sanjiv,Anido,1953-10-29
11421,d004,1986-09-02,9999-01-01,Josyula,Msuda,1953-11-07
11449,d004,1995-02-03,9999-01-01,Kotesh,Asser,1955-03-30
11460,d004,1992-05-28,9999-01-01,,,1955-11-19
11469,d004,1994-09-08,9999-01-01,Guttorm,Giaccio,1952-12-01
11474,d004,1995-09-24,9999-01-01,,,1953-04-17
11528,d004,1987-06-15,9999-01-01,Zito,Dolinsky,1955-04-26
