emp_no,dept_no,from_date,to_date,first_name,last_name,birth_date
10126,d009,1985-09-08,9999-01-01,Kayoko,Valtorta,1954-08-07
10387,d009,1994-01-07,9999-01-01,Parto,Wrigley,1952-11-03
10432,d009,1990-08-13,9999-01-01,Hisao,Tiemann,1953-11-06
10453,d009,1985-04-02,9999-01-01,Tsvetan,Matzel,1953-07-19
10693,d009,1986-01-08,9999-01-01,Berhard,Daescu,1953-12-14
10895,d009,1986-12-25,1987-04-13,Vishwani,Petersohn,1952-03-21
11110,d009,1987-11-14,1988-09-23,Valeska,Birjandi,1955-12-11
11112,d009,1995-04-28,9999-01-01,Boaz,Mukaidono,1954-08-05
11232,d009,1994-08-02,9999-01-01,Hidefumi,Crelier,1955-09-03
11735,d009,1988-07-14,9999-01-01,Amalendu,Picci,1955-02-19
11987,d009,1988-10-17,1993-09-14,Vidya,Schaar,1954-12-29
12037,d009,1986-10-01,9999-01-01,Arunas,Katzenelson,1954-01-11
12103,d009,1990-04-23,1992-09-18,Becky,Erie,1955-02-03
12528,d009,1988-09-24,9999-01-01,Conor,Cincotta,1952-11-20
12635,d009,1995-04-07,9999-01-01,Xinyu,Restivo,1952-11-09
12664,d009,2001-03-12,9999-01-01,Zhonghua,Parveen,1952-05-01
12775,d009,1993-10-17,2002-04-05,Mariangiola,Berendt,1952-10-21
12846,d009,1994-10-16,2001-01-15,Krisda,Cyne,1954-10-24
12853,d009,1987-01-05,1996-10-03,Mang,Brobst,1953-10-06
13133,d009,1991-06-13,9999-01-01,Guther,Senzako,1955-06-21
13272,d009,1985-03-10,9999-01-01,Arun,Jiang,1953-10-11
13458,d009,2002-02-02,9999-01-01,Feipei,Nivat,1954-12-21
13768,d009,1986-11-19,1990-09-18,Sedat,Lovengreen,1953-08-13
13809,d009,1986-01-12,9999-01-01,Kiyotoshi,Basagni,1953-07-05
13966,d009,1990-12-26,9999-01-01,Boguslaw,Cooman,1954-01-03
14111,d009,1992-09-25,9999-01-01,Leszek,Cummings,1955-03-27
14237,d009,1998-03-22,9999-01-01,Abdulla,Gerlach,1954-10-17
14287,d009,1992-06-04,1995-02-09,Masali,Highland,1955-11-29
14323,d009,1997-08-05,1997-10-22,Golgen,Leslie,1952-05-31
14600,d009,1988-10-24,9999-01-01,Jayson,Cairo,1952-12-22
14683,d009,1999-10-11,9999-01-01,Alois,Basart,1955-03-02
14785,d009,1998-09-24,9999-01-01,Zhonghua,Kaiser,1955-04-23
14814,d009,1987-10-27,9999-01-01,Odysseas,Nishimukai,1955-09-01
14854,d009,1988-03-12,2001-06-16,Angus,Perko,1953-05-22
15024,d009,1999-11-21,2000-12-10,Yurii,Rullman,1955-03-06
15049,d009,1991-01-17,9999-01-01,Khun,Waymire,1954-12-23
15092,d009,1986-05-26,9999-01-01,Remmert,Bahi,1955-06-22
15728,d009,1986-05-30,2002-05-30,Jaewon,Nooteboom,1955-04-10
15911,d009,1993-12-20,9999-01-01,Shaibal,Viele,1952-08-29
16164,d009,1990-10-19,2001-05-31,Janche,Kinley,1955-01-13
16192,d009,1999-06-13,9999-01-01,Leandro,Sigstam,1954-04-14
16229,d009,1996-09-17,9999-01-01,Ronnie,Lanzelotte,1955-12-24
16234,d009,1986-05-14,9999-01-01,Jacopo,Basart,1954-01-18
16380,d009,1986-06-01,9999-01-01,Zhilian,Chleq,1955-05-02
16491,d009,1995-10-04,9999-01-01,Emdad,Radwan,1952-12-03
16723,d009,1986-12-24,9999-01-01,Mohd,Randt,1955-05-30
17126,d009,1994-02-20,9999-01-01,Matk,Schapire,1952-02-11
17154,d009,1991-01-09,1995-02-05,Aria,Milicia,1954-06-26
17158,d009,1999-10-24,9999-01-01,Danai,Vecchio,1954-02-21
