emp_no,dept_no,from_date,to_date,first_name,last_name,birth_date
10058,d001,1988-04-25,9999-01-01,Berhard,McFarlin,1954-10-01
10108,d001,1999-12-06,2001-10-20,Lunjin,Giveon,1952-04-07
10228,d001,1993-01-28,9999-01-01,,,1953-04-21
10239,d001,1996-05-04,9999-01-01,,,1955-03-31
10340,d001,1988-03-30,9999-01-01,Djelloul,Laventhal,1952-08-20
10353,d001,1989-08-24,9999-01-01,,,1953-01-15
10367,d001,1991-06-24,9999-01-01,,,1955-12-24
10418,d001,1996-10-04,9999-01-01,,,1952-06-29
10499,d001,1996-07-31,1998-03-16,,,1953-10-04
10548,d001,1991-10-04,9999-01-01,Ramalingam,Gunderson,1952-06-12
10591,d001,1987-06-18,1988-09-20,Hidde,Hettesheimer,1952-12-22
10694,d001,1988-01-26,2001-07-11,Rildo,Straney,1955-12-16
10741,d001,1989-01-06,9999-01-01,,,1954-01-02
10778,d001,1986-07-04,9999-01-01,Selwyn,Merey,1953-03-13
10830,d001,1991-08-24,9999-01-01,,,1954-08-17
10885,d001,1997-09-29,9999-01-01,,,1953-05-06
10927,d001,1986-09-12,9999-01-01,Gal,Scallan,1953-03-13
11012,d001,1996-07-06,2000-03-16,Taegyun,Speckmann,1953-09-12
11031,d001,1985-10-24,9999-01-01,Ottavia,Walstra,1954-12-20
11050,d001,1986-05-06,9999-01-01,Elvis,Katiyar,1952-09-23
11092,d001,2002-04-25,9999-01-01,,,1954-09-28
11113,d001,1985-11-30,9999-01-01,Shahab,Peng,1953-04-28
11251,d001,1986-06-15,9999-01-01,Bezalel,Chinal,1955-10-16
11288,d001,1997-06-03,1997-07-28,,,1953-03-23
11320,d001,1990-04-06,9999-01-01,Atilio,McAlpine,1954-04-13
11414,d001,1989-01-02,1997-10-06,,,1952-08-08
11418,d001,1999-11-23,9999-01-01,,,1954-03-21
11476,d001,1994-01-15,9999-01-01,,,1954-06-20
11501,d001,1991-10-24,2002-03-20,Karsten,Ranum,1952-03-26
11527,d001,1999-01-28,9999-01-01,Alagu,Boyle,1952-02-06
11554,d001,1999-02-21,9999-01-01,Subhash,Taubenfeld,1955-05-28
11595,d001,1992-09-08,9999-01-01,,,1953-02-26
11602,d001,1993-06-21,9999-01-01,,,1953-08-09
11667,d001,1990-09-08,9999-01-01,,,1955-05-15
11684,d001,1986-02-21,9999-01-01,Oksana,Gide,1953-03-07
11797,d001,1996-09-28,9999-01-01,Chenxi,Thambidurai,1954-08-12
11841,d001,1996-04-02,1996-10-24,,,1955-04-21
11853,d001,1988-11-17,9999-01-01,Zeljko,Kusakabe,1952-06-19
11872,d001,1994-02-12,9999-01-01,Cheong,Riexinger,1953-01-17
11888,d001,1994-11-28,9999-01-01,,,1952-04-05
11972,d001,1994-04-25,9999-01-01,,,1954-10-01
11994,d001,1993-11-11,9999-01-01,,,1953-02-11
12025,d001,1985-02-28,1990-06-09,Jaewoo,Heiserman,1953-05-04
12036,d001,1986-09-05,1995-07-01,Mads,Ratzlaff,1953-03-02
12040,d001,1998-09-28,9999-01-01,,,1955-03-24
12368,d001,1992-06-14,9999-01-01,,,1955-10-07
12380,d001,1991-09-14,1991-09-15,,,1953-06-13
12478,d001,1997-09-05,1998-12-11,Yahiko,Hopewell,1954-10-23
12505,d001,1999-08-24,2000-08-23,,,1952-08-24
12537,d001,1995-06-21,9999-01-01,,,1955-11-23
12623,d001,1991-11-04,9999-01-01,,,1953-01-02
12642,d001,1996-10-28,9999-01-01,Suebskul,Gips,1955-09-27
12680,d001,1995-11-12,9999-01-01,,,1954-09-15
12803,d001,1999-08-30,9999-01-01,Gad,Boissier,1952-05-12
12937,d001,1991-10-27,1992-12-14,Arup,Cincotta,1953-03-17
12951,d001,1988-06-26,1994-07-27,Mohammad,Keirsey,1954-06-15
13030,d001,1993-11-25,9999-01-01,Yahiko,Kroll,1955-02-12
13075,d001,1990-09-02,9999-01-01,Rosella,Morrin,1955-05-24
13108,d001,1989-12-14,9999-01-01,,,1955-10-16
13133,d001,1985-09-03,1991-06-13,Guther,Senzako,1955-06-21
13210,d001,1997-08-10,9999-01-01,Jianhua,Klassen,1953-06-19
13299,d001,1997-03-08,1998-09-13,Guiseppe,Butner,1953-12-07
13341,d001,1986-03-11,9999-01-01,Bodh,Doering,1953-06-02
13394,d001,1995-03-06,9999-01-01,,,1953-12-17
13412,d001,1999-01-18,9999-01-01,,,1952-03-13
13522,d001,1997-06-01,9999-01-01,,,1952-11-20
13554,d001,1993-07-04,9999-01-01,,,1955-11-02
13642,d001,1992-03-04,9999-01-01,,,1954-03-07
13730,d001,1991-07-20,9999-01-01,,,1954-06-28
13776,d001,1995-03-20,9999-01-01,,,1953-03-16
13909,d001,1995-05-22,1995-09-08,,,1954-11-20
13911,d001,1993-11-24,9999-01-01,,,1954-10-16
14041,d001,1987-12-22,9999-01-01,Shan,DeMori,1954-05-09
