emp_no,dept_no,from_date,to_date,first_name,last_name,birth_date
10053,d007,1994-11-13,9999-01-01,Sanjiv,Zschoche,1954-09-13
10160,d007,1993-12-06,9999-01-01,,,1953-10-18
10228,d007,1992-12-22,1993-01-28,,,1953-04-21
10248,d007,1991-08-13,9999-01-01,,,1955-09-24
10302,d007,1986-07-22,1999-11-09,Faiza,Baer,1954-10-11
10321,d007,1995-07-24,1999-08-14,,,1955-12-12
10374,d007,1993-12-08,1995-04-25,,,1955-10-08
10407,d007,1999-10-30,9999-01-01,,,1955-07-05
10517,d007,1990-12-25,9999-01-01,,,1953-06-18
10548,d007,1986-07-04,1991-10-04,Ramalingam,Gunderson,1952-06-12
10637,d007,1993-07-11,2000-01-19,,,1954-07-11
10795,d007,1993-05-03,9999-01-01,Supot,Naudin,1954-12-14
10895,d007,1986-04-26,1986-12-25,Vishwani,Petersohn,1952-03-21
10996,d007,1990-02-07,9999-01-01,,,1955-02-01
11002,d007,1998-11-21,2001-12-07,,,1952-02-26
11009,d007,1986-09-09,9999-01-01,Alper,Axelband,1954-08-30
11048,d007,1999-05-27,9999-01-01,Jaques,Demke,1952-10-26
11092,d007,1999-04-05,2002-04-25,,,1954-09-28
11168,d007,1996-07-15,9999-01-01,,,1953-05-03
11206,d007,1993-05-07,2000-05-04,,,1954-07-14
11288,d007,1997-07-28,1997-09-28,,,1953-03-23
11315,d007,2000-01-18,2002-01-17,,,1955-04-21
11468,d007,1996-03-19,1997-04-07,,,1955-12-02
11515,d007,1998-09-21,9999-01-01,Ulf,Basawa,1955-03-03
11521,d007,1995-10-17,2000-06-08,,,1952-06-14
11537,d007,1986-07-06,9999-01-01,DAIDA,Pehl,1955-06-29
11567,d007,1988-02-03,9999-01-01,Teiji,Mitzlaff,1954-07-06
11615,d007,1991-08-29,9999-01-01,Shem,Isaak,1955-03-05
11664,d007,1990-09-07,9999-01-01,,,1955-08-27
11746,d007,1988-11-17,9999-01-01,Koichi,Marrakchi,1952-05-22
11747,d007,1986-02-20,1999-01-16,Aksel,Kossowski,1953-11-27
11801,d007,1992-06-12,9999-01-01,,,1953-11-22
11811,d007,1992-03-28,9999-01-01,,,1953-07-05
11817,d007,1986-04-12,9999-01-01,Niranjan,Markovitch,1955-05-25
11838,d007,1986-07-11,1991-05-09,Taiji,Nitta,1955-04-13
11857,d007,1986-08-27,9999-01-01,Divier,Farrag,1955-12-03
11881,d007,1990-04-08,9999-01-01,,,1952-08-06
11897,d007,1988-06-16,9999-01-01,Cordelia,Setlzner,1952-11-23
11980,d007,1998-02-18,9999-01-01,,,1955-07-03
12054,d007,1999-08-06,9999-01-01,,,1954-04-08
12076,d007,1985-03-25,9999-01-01,Karlis,Siprelle,1955-03-16
12080,d007,1993-05-17,9999-01-01,,,1953-10-16
12128,d007,1997-08-16,1998-11-25,Yannik,Barreiro,1953-09-13
12149,d007,1988-10-01,9999-01-01,Suebskul,Grandbois,1954-10-25
12213,d007,1994-11-01,9999-01-01,,,1952-09-26
12235,d007,1997-07-10,9999-01-01,,,1954-06-05
12273,d007,1991-02-14,9999-01-01,,,1953-11-22
12291,d007,1993-03-29,9999-01-01,,,1953-12-28
12399,d007,1987-12-07,9999-01-01,Mihalis,Luga,1955-11-15
12411,d007,1986-08-17,9999-01-01,Shao,Ibel,1952-05-31
12464,d007,1998-06-01,9999-01-01,Shai,Milicic,1955-09-08
12478,d007,1991-07-06,1997-09-05,Yahiko,Hopewell,1954-10-23
12497,d007,1989-09-25,9999-01-01,Stein,Penz,1953-08-26
12505,d007,2000-08-23,2002-02-18,,,1952-08-24
12552,d007,1998-08-22,2000-08-15,,,1955-07-27
12617,d007,1991-03-03,9999-01-01,,,1953-05-07
12651,d007,1988-01-27,9999-01-01,Pragnesh,Bael,1952-07-24
12656,d007,1994-06-27,1995-05-17,,,1955-08-12
12664,d007,1999-08-04,2001-03-12,Zhonghua,Parveen,1952-05-01
12687,d007,1998-04-12,9999-01-01,,,1954-12-06
12707,d007,1998-06-24,9999-01-01,,,1953-07-22
12761,d007,1996-05-06,9999-01-01,,,1953-11-05
12790,d007,1995-08-08,9999-01-01,Gunilla,Perl,1953-02-05
12798,d007,1987-12-27,9999-01-01,Lillian,Beeson,1952-05-18
12803,d007,1985-03-16,1999-08-30,Gad,Boissier,1952-05-12
12881,d007,1999-08-25,9999-01-01,,,1953-08-21
12915,d007,1994-04-01,9999-01-01,,,1955-08-17
12969,d007,1992-02-05,9999-01-01,,,1955-03-27
13034,d007,1992-06-23,1994-06-01,,,1955-02-21
13065,d007,1992-01-27,9999-01-01,,,1955-07-27
13075,d007,1986-08-17,1990-09-02,Rosella,Morrin,1955-05-24
13093,d007,1999-09-18,9999-01-01,,,1953-08-12
13146,d007,1985-05-25,9999-01-01,Haldon,Erie,1953-11-01
13173,d007,1987-09-24,9999-01-01,Arve,Horswill,1953-04-20
13179,d007,1999-02-19,9999-01-01,Moty,Janocha,1955-09-09
13186,d007,1986-04-29,9999-01-01,Kyoichi,Barbanera,1955-06-19
13210,d007,1997-07-27,1997-08-10,Jianhua,Klassen,1953-06-19
13238,d007,1993-10-10,9999-01-01,Ebru,Foote,1953-02-23
13243,d007,1999-09-18,1999-11-11,Fay,Huxford,1953-12-23
