emp_no,dept_no,from_date,to_date,first_name,last_name,birth_date
10067,d006,1987-03-04,9999-01-01,Claudi,Stavenow,1953-01-07
10138,d006,1992-03-03,9999-01-01,Perry,Shimshoni,1955-04-24
10363,d006,1987-05-18,1993-02-12,Toshiki,Muniz,1953-11-28
10402,d006,1987-01-02,9999-01-01,Volkmar,Ebeling,1953-07-23
10486,d006,1987-10-08,9999-01-01,Amstein,Kossowski,1952-08-24
11070,d006,1985-07-24,9999-01-01,Adib,Raney,1952-06-30
11883,d006,1988-04-16,1990-10-28,Nectarios,Bhattacharjee,1952-05-27
12183,d006,1998-04-04,9999-01-01,Harngdar,Iisaku,1954-06-29
12192,d006,1986-09-02,9999-01-01,Feiyu,Klyachko,1954-11-06
13165,d006,1988-03-16,9999-01-01,Lucian,Benner,1954-09-09
13415,d006,1991-04-25,9999-01-01,Nathalie,Speer,1955-06-23
13443,d006,1990-12-26,9999-01-01,Mayuko,Puppo,1954-07-22
13521,d006,1988-12-16,1991-02-18,Jaewoo,Tasistro,1955-07-28
14439,d006,1986-11-01,9999-01-01,Raimond,Woycyznski,1953-07-27
14942,d006,1987-11-15,9999-01-01,Heon,Benveniste,1955-01-22
15019,d006,1991-06-16,9999-01-01,Qingxiang,Shokrollahi,1953-07-29
15337,d006,1988-08-07,9999-01-01,Masaru,Radivojevic,1953-10-05
15901,d006,1988-03-04,9999-01-01,Marsja,Fargier,1953-07-05
16302,d006,1985-08-10,1988-12-06,Bedir,Speek,1955-06-11
16580,d006,1986-06-20,9999-01-01,Masaru,Valiente,1952-12-17
16929,d006,1998-12-01,2000-08-12,Murthy,Burnard,1954-03-02
17048,d006,1988-10-09,9999-01-01,Christoph,Murthy,1954-08-24
17076,d006,1990-05-16,9999-01-01,Gudjon,Hitomi,1954-10-01
17140,d006,1995-08-10,1997-12-21,Mabhin,Schwabacher,1952-10-21
17294,d006,1987-08-17,9999-01-01,Shrikanth,Pietrzykowski,1955-11-22
17716,d006,1988-09-24,9999-01-01,Josyula,Vitiello,1953-05-02
17871,d006,1996-07-20,9999-01-01,Ebbe,Hedayat,1954-09-20
17925,d006,1987-03-09,9999-01-01,Adamantios,Baezner,1955-10-15
18323,d006,1987-08-17,1994-01-25,Oddvar,Tiemann,1954-06-25
18438,d006,1994-10-01,9999-01-01,Chiradeep,Iacovou,1953-12-29
18857,d006,1987-09-23,1994-05-25,Bogdan,Roison,1953-02-16
18866,d006,1997-04-10,2000-02-20,Fumiyo,Hettesheimer,1954-03-10
18979,d006,1987-06-14,9999-01-01,Girolamo,Fujisawa,1954-10-21
19332,d006,1986-06-17,9999-01-01,Changho,Khamsi,1952-04-29
19422,d006,1999-06-18,9999-01-01,Florian,Budinsky,1955-06-29
19442,d006,1986-09-12,1999-04-28,Terresa,Perez,1952-09-11
19570,d006,1997-11-02,2002-03-19,Uwe,Kobuchi,1952-04-08
19640,d006,2000-12-03,9999-01-01,Tonny,Francisci,1953-04-01
19828,d006,1985-06-06,9999-01-01,Dannz,Maliniak,1953-03-17
19929,d006,1995-02-11,1998-08-09,Saniya,Katzenelson,1954-03-05
20218,d006,1990-01-20,9999-01-01,Ioana,Gihr,1954-04-15
20259,d006,1988-10-18,9999-01-01,Yannik,Bratten,1955-05-14
20403,d006,1993-08-23,9999-01-01,Rildo,Reinhard,1953-08-30
20949,d006,1988-02-13,1996-12-13,Herb,Flasterstein,1954-07-03
20965,d006,1990-11-10,9999-01-01,Tadanori,Bahl,1954-09-20
21363,d006,1990-10-02,9999-01-01,Katsuyuki,Theuretzbacher,1954-03-20
21444,d006,1987-11-04,9999-01-01,Caolyn,Cronan,1954-02-13
21479,d006,1997-01-27,9999-01-01,Jeane,Kuszyk,1952-04-13
21646,d006,1996-03-14,9999-01-01,Gila,Guardalben,1955-12-19
22196,d006,1986-12-23,1996-05-05,Aruna,Mukaidono,1953-11-04
22584,d006,2001-09-28,2002-06-23,Bezalel,Feldhoffer,1954-08-25
22838,d006,1985-06-06,1998-01-26,Brendon,Markovitch,1955-10-12
22935,d006,1993-10-11,9999-01-01,Toshimo,Foong,1955-01-27
23136,d006,1998-02-14,2002-01-26,Narain,Skogmar,1955-05-09
23220,d006,1985-12-02,9999-01-01,Christoper,Back,1952-08-31
23460,d006,1991-10-31,1995-09-18,Masato,Steinauer,1953-11-19
23554,d006,1987-04-20,9999-01-01,Toshiki,Bail,1954-02-20
23659,d006,1989-04-25,9999-01-01,Gina,Verhoeff,1955-05-21
24041,d006,1988-04-27,9999-01-01,Macha,Bednarek,1952-11-03
24316,d006,1986-06-28,9999-01-01,Feiyu,Cincotta,1953-04-25
24389,d006,1993-01-06,1996-07-07,Kenroku,Shimshoni,1953-05-16
24533,d006,2000-11-01,9999-01-01,Shigenori,Erman,1953-11-21
24896,d006,1995-09-06,9999-01-01,Gen,McConalogue,1952-04-28
24939,d006,1988-05-19,2001-06-14,Shuho,Angot,1954-09-13
24944,d006,1987-09-12,1993-11-19,Candida,Servieres,1955-09-19
25037,d006,2001-03-19,9999-01-01,Adib,Magliocco,1952-04-23
25874,d006,1987-03-08,1995-03-13,Eirik,Demos,1955-06-24
26012,d006,1985-05-04,9999-01-01,Eric,Marwedel,1953-03-10
26232,d006,1994-04-01,9999-01-01,Rosli,Slutz,1954-10-19
26442,d006,1987-08-23,1994-08-18,Mingsen,Cromarty,1955-10-23
26903,d006,1988-12-11,9999-01-01,Xumin,Tischendorf,1955-04-29
27023,d006,1998-02-15,9999-01-01,Jinpo,Falster,1953-03-26
27311,d006,1998-04-09,9999-01-01,Gil,Schnabel,1954-02-13
27429,d006,1999-11-05,9999-01-01,Nahid,Plotkin,1954-01-08
27510,d006,1997-04-29,1998-07-12,Kensei,Esposito,1952-11-01
27837,d006,1987-03-16,9999-01-01,Branimir,Chachaty,1954-03-31
27884,d006,2002-07-01,9999-01-01,Kristina,Zucker,1955-12-22
28403,d006,1995-01-18,1995-04-29,Gilbert,Garnier,1954-09-22
28444,d006,1994-11-06,9999-01-01,Harjit,Henseler,1953-12-03
28818,d006,1992-01-13,9999-01-01,Hongzhu,Panienski,1952-07-18
29950,d006,1994-10-16,9999-01-01,Laurentiu,Vasanthakumar,1953-12-31
