emp_no,dept_no,from_date,to_date,first_name,last_name,birth_date
10100,d003,1987-09-21,9999-01-01,Hironobu,Haraldson,1953-04-21
11431,d003,1985-09-16,2001-03-03,Youngkon,Picht,1954-08-05
11554,d003,1998-07-15,1999-02-21,Subhash,Taubenfeld,1955-05-28
11588,d003,1994-12-24,1995-06-12,Kaijung,Panangaden,1952-07-20
12062,d003,1996-01-04,9999-01-01,Margareta,Worfolk,1954-01-20
12089,d003,1986-10-22,9999-01-01,Bilhanan,Socorro,1954-06-21
12335,d003,1995-12-01,2000-06-19,Arnould,Genin,1952-11-25
12553,d003,1987-02-28,9999-01-01,Aral,Vesna,1954-05-08
12596,d003,1996-09-29,9999-01-01,Breannda,Roisin,1955-10-10
12697,d003,1986-07-11,9999-01-01,Uri,Brizzi,1955-06-25
13170,d003,1998-09-21,9999-01-01,Cheong,Bernardeschi,1955-10-25
13288,d003,1987-04-14,9999-01-01,Muneo,Broomell,1952-08-24
13373,d003,1993-04-05,9999-01-01,Juichirou,Naumovich,1954-09-08
13385,d003,1986-06-10,9999-01-01,Claudi,Buchter,1954-11-15
13451,d003,1986-08-23,9999-01-01,Gretta,Weiland,1952-03-21
13653,d003,1991-01-17,9999-01-01,Kristen,Iivonen,1955-01-01
13727,d003,1999-10-07,9999-01-01,Vitali,Merey,1952-08-13
13999,d003,1995-02-25,9999-01-01,Florian,Crouzet,1952-11-25
14498,d003,1988-10-17,9999-01-01,Xiong,Selenyi,1953-11-03
14723,d003,1993-06-01,9999-01-01,Constantino,Assaf,1953-08-23
16324,d003,1998-05-04,9999-01-01,Billie,Bazzichi,1955-07-23
16719,d003,1989-04-25,9999-01-01,Sasan,Benantar,1954-09-30
17120,d003,1987-02-09,9999-01-01,Yifei,Polupanov,1952-11-12
17584,d003,1994-03-15,9999-01-01,Emdad,Coorg,1955-01-13
18208,d003,1986-10-05,9999-01-01,Demin,Irland,1953-05-18
18817,d003,1997-08-30,9999-01-01,Kristin,Xiaoshan,1954-08-03
18890,d003,1993-08-16,9999-01-01,Pasqua,Litecky,1952-02-11
19194,d003,1985-11-19,2000-10-23,Uta,Pramanik,1954-03-22
19209,d003,1997-04-26,9999-01-01,Berhard,Encarnacion,1955-12-18
19518,d003,1998-05-21,9999-01-01,Genta,Vieri,1952-04-21
19639,d003,1993-12-10,9999-01-01,Sibyl,Terlouw,1954-11-22
19901,d003,1985-02-27,9999-01-01,Tsvetan,Stasinski,1954-04-08
19971,d003,1993-03-09,1994-02-24,Muneo,Lanteri,1954-03-31
20055,d003,1985-04-26,9999-01-01,Hairong,Swiss,1953-09-14
20083,d003,1988-07-26,1994-04-09,Subhrajyoti,Merkl,1954-07-30
20548,d003,1986-09-10,9999-01-01,Edwin,Bugrara,1954-09-11
22054,d003,1987-06-06,9999-01-01,Ottavia,Benveniste,1954-09-25
22133,d003,1993-08-07,9999-01-01,Annemarie,Bernardeschi,1954-06-20
22325,d003,1996-11-07,9999-01-01,Susanta,Hebden,1954-01-22
22416,d003,1985-03-06,9999-01-01,Feiyu,Syrotiuk,1952-10-26
22440,d003,1989-02-11,9999-01-01,Odinaldo,Restivo,1953-08-23
22554,d003,1990-08-02,1995-08-22,Rosine,Koprowski,1955-09-22
22794,d003,1989-12-14,9999-01-01,Adib,Schiper,1953-04-06
23000,d003,1993-09-20,9999-01-01,Arfst,Murillo,1953-12-08
23159,d003,1989-03-22,9999-01-01,Atilio,Esposito,1953-07-12
23224,d003,1985-08-13,9999-01-01,Nikolaos,Engelmann,1952-06-24
23363,d003,1993-05-15,9999-01-01,Jacqueline,Zeleznik,1955-05-26
23374,d003,1986-07-17,9999-01-01,Samphel,Gecsei,1952-09-18
23426,d003,1988-10-14,1989-04-11,Kristinn,Zhiwei,1953-02-10
