emp_no,dept_no,from_date,to_date,first_name,last_name,birth_date
10186,d002,1996-12-25,1997-08-16,Shigehito,Kropatsch,1953-07-16
10918,d002,1990-01-29,1990-10-10,Susumu,Reghbati,1954-12-26
10989,d002,1985-07-20,9999-01-01,Sumali,Candan,1954-09-08
11081,d002,1985-06-17,9999-01-01,Barry,Boyle,1952-06-20
11203,d002,1988-01-06,1996-06-15,Sakthirel,Yetto,1952-06-24
12112,d002,1989-09-26,9999-01-01,Satyanarayana,Avouris,1953-07-01
12222,d002,1987-08-15,9999-01-01,Abdelwaheb,Holburn,1953-03-04
12395,d002,1995-06-05,9999-01-01,Sanjit,Felder,1955-01-08
12501,d002,1986-06-05,9999-01-01,Morrie,Matheson,1954-11-22
13046,d002,1987-04-19,9999-01-01,Vivian,Stafford,1953-03-09
13113,d002,1993-01-16,1996-10-07,Kwun,Landherr,1953-08-05
13144,d002,1989-06-19,9999-01-01,Persi,Nollmann,1952-07-11
13170,d002,1993-01-09,1998-09-21,Cheong,Bernardeschi,1955-10-25
13373,d002,1991-08-24,1993-04-05,Juichirou,Naumovich,1954-09-08
13792,d002,1985-07-27,9999-01-01,Valery,Sury,1953-05-06
13914,d002,1985-08-07,1989-01-15,Serge,Albarhamtoshy,1955-05-03
13992,d002,1988-07-27,9999-01-01,Ulises,Kenevan,1955-09-27
14034,d002,1985-08-26,9999-01-01,Aloys,Seghrouchni,1952-05-07
14724,d002,1986-09-10,9999-01-01,Aron,Lemarechal,1955-12-19
14899,d002,1985-02-22,1995-11-27,Alejandro,Casley,1954-02-26
14971,d002,1991-03-25,9999-01-01,Fan,Simmen,1955-04-07
15016,d002,1991-10-21,9999-01-01,Woody,Gulik,1953-05-27
15534,d002,1987-05-06,9999-01-01,Guozhong,Grabner,1954-02-23
15687,d002,1990-02-13,9999-01-01,Dekang,Ambroszkiewicz,1955-08-26
15809,d002,1988-06-07,9999-01-01,Mingsen,Antonisse,1955-05-09
16068,d002,1987-12-18,9999-01-01,Leandro,Zongker,1952-03-05
16274,d002,1986-05-19,9999-01-01,Sadun,Navazio,1953-06-02
16397,d002,1985-05-24,9999-01-01,Shimshon,Cusworth,1953-12-22
16868,d002,1989-09-18,1997-06-22,Gou,Vandervoorde,1952-06-09
17285,d002,1995-03-27,9999-01-01,Mario,Weiland,1952-09-11
17552,d002,1997-03-26,9999-01-01,Pradeep,Neiman,1953-07-22
17907,d002,1992-01-06,9999-01-01,Kotesh,Bernini,1954-12-04
17987,d002,1992-12-12,1999-11-13,Atreyi,Monkewich,1952-06-18
18427,d002,1994-03-12,9999-01-01,Kiyomitsu,Qiwen,1954-12-21
18450,d002,1985-05-19,9999-01-01,Takahito,Hoppenstand,1954-07-12
18532,d002,1999-06-03,9999-01-01,Joydip,Onuegbe,1953-04-13
18573,d002,1998-04-16,9999-01-01,Zongyan,Baca,1954-02-27
19036,d002,1987-03-29,9999-01-01,Sampalli,Vesna,1954-02-02
19501,d002,1991-06-07,9999-01-01,Kokou,Baranowski,1953-07-18
19518,d002,1997-06-06,1998-05-21,Genta,Vieri,1952-04-21
19689,d002,1991-12-15,1997-11-26,Dipankar,Herath,1953-06-15
19804,d002,1998-03-06,9999-01-01,Tamiya,Benzmuller,1955-06-11
19946,d002,1996-05-11,9999-01-01,Owen,Levasseur,1953-04-28
20002,d002,1988-01-26,1992-07-22,Jaber,Brender,1955-12-25
20039,d002,1990-03-12,9999-01-01,Udo,Harbusch,1952-06-07
20636,d002,1990-01-21,9999-01-01,Hsiangchu,Collavizza,1952-11-07
21507,d002,1985-07-18,9999-01-01,Mansur,Benzmuller,1953-08-14
21832,d002,1985-07-02,9999-01-01,Suzette,Vecchio,1952-11-01
21987,d002,1999-01-28,1999-06-24,Dipankar,Fontet,1954-11-27
22165,d002,1994-08-20,9999-01-01,Alenka,Emiris,1954-06-16
22224,d002,1985-07-10,9999-01-01,Brendon,Rohrbach,1954-12-13
22310,d002,1991-11-28,2000-05-30,Sahrah,Sinitsyn,1952-10-09
23581,d002,1987-03-07,1995-07-16,Houman,Narlikar,1954-01-25
24251,d002,1985-03-18,9999-01-01,Moto,Mondadori,1955-03-08
24486,d002,1992-01-24,9999-01-01,Kerhong,Quaggetto,1952-07-22
24581,d002,1997-09-08,9999-01-01,Jouni,Roccetti,1953-09-30
24834,d002,1987-09-02,1989-09-13,Nathalie,Broomell,1955-02-24
25035,d002,1985-04-19,2001-10-29,Ayakannu,Flasterstein,1953-08-09
25076,d002,1993-11-12,1998-12-26,Rayond,Berztiss,1955-05-16
25435,d002,1987-06-13,1994-06-08,DeForest,Milicia,1953-01-15
25738,d002,1995-07-04,9999-01-01,Yuchang,McClure,1954-06-11
26256,d002,1986-03-20,9999-01-01,Faiza,Michaels,1954-07-23
26905,d002,1986-10-27,1994-01-19,Fatemeh,Markovitch,1953-01-10
26976,d002,1986-03-26,9999-01-01,Muzhong,Sommen,1953-08-29
27024,d002,1985-10-28,9999-01-01,Zijian,Bennis,1953-01-10
27241,d002,1991-08-13,9999-01-01,Mayuri,Erez,1955-05-03
27249,d002,1986-09-10,9999-01-01,Martins,Kushnir,1952-12-02
27365,d002,1985-02-27,1999-03-19,Mang,Morris,1953-06-03
27463,d002,1985-07-06,9999-01-01,Masaki,McDermid,1954-03-11
27899,d002,1988-12-31,9999-01-01,Kristen,Hebert,1955-10-04
27968,d002,2000-04-16,9999-01-01,Harngdar,England,1953-05-19
28345,d002,1989-09-07,9999-01-01,Tamiya,Seghrouchni,1953-01-11
28653,d002,1987-03-05,1988-04-07,Pranay,Flanders,1954-02-22
28676,d002,1991-05-08,1995-09-08,Falguni,Bamford,1953-04-20
28677,d002,1988-03-20,9999-01-01,Terresa,Gunderson,1954-03-28
28687,d002,1990-10-23,9999-01-01,Ulf,Ghazalie,1954-01-25
28881,d002,1986-10-26,9999-01-01,Masaki,Rosin,1953-01-23
29071,d002,1985-12-08,9999-01-01,Jaideep,Hennings,1954-05-04
29495,d002,1989-11-19,9999-01-01,Mizuhito,Morrey,1952-09-29
29902,d002,1987-12-05,9999-01-01,Kasturi,Asser,1952-08-31
30509,d002,1988-04-29,9999-01-01,Keiichiro,Comellas,1952-12-08
30624,d002,1997-10-09,9999-01-01,Gou,Rosiles,1955-03-20
30882,d002,1985-09-02,1987-01-25,Kiam,Ulupinar,1954-04-11
31394,d002,1996-06-25,9999-01-01,Martial,Lieberherr,1952-12-22
31493,d002,1999-09-22,9999-01-01,Zhiwei,Gargeya,1954-01-14
31594,d002,1997-09-20,9999-01-01,Abdelkader,Birta,1955-07-07
31858,d002,1992-02-08,9999-01-01,Geoffrey,Benantar,1953-12-25
31931,d002,1985-09-02,9999-01-01,Alenka,Leppanen,1952-06-07
32032,d002,1990-09-28,9999-01-01,Harjit,Kermarrec,1952-11-06
